标题,价格,户型,面积,朝向,楼层,装修,种类,位置,标签,设施,概况,链接
近天安云谷 温馨一房 独厨独卫 大阳台 精美电梯房 看房电联,1800元/月,1室0厅1卫,35平方米,南北,低层(共17层),精装修,公寓,天安云谷 (龙岗坂田),整租南北10号线,一室一厅一厨一卫，户户带阳台，非样板间，所见即所得。步行到云谷仅驋纷， 交通：近华为地铁口，电梯房。需要看房直接电联。 周边有马蹄山村、华为基地，近华为小区，华为J出口。 统一酒店式管理、配有管家、保洁等服务、家私齐全拎包即可入住。 近华为地铁口，步行到地铁口仅齤龒龒米左右距离。楼下就是公交站，出行非常方便。 实图实价，爱了吗，喜欢找我私聊哦。 配置:床、衣柜、电脑桌、沙发、热水器、冰箱、空调、洗衣机，独立厨卫现房直租，中介勿扰，看房电联。,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1518134180012042?isauction=6&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYLnW0zn10kmBYkuHDzsHE3nhDVryc3nzdbPWRWmhDvnhcdrycKnHTQn1cLnHb3TEDQPHD3nHnYnH9knjDznjEzTHTKnHTkTHD_nHTKPTDQPWT1PjndP19LPjNdTHN3TXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHDLTEDVnEDKnHnQnj9vnHNOPHnvPWDdnjDYPTDvTyGGmNI-rWKxnWNknTDQTHFWnjDQuhDzsHTYmW0VPAc1uiYOmvnvsHNQPvEYnWIBrHTLP9DQn1DkrjmQPHbdPj9LP10zPW0zTHD1nHT3PWDdrHNYnj9krHnQrjEKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQPzt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1THTdn1P6mWTksH66uHnVPjmOmzYOn1FhsywbuAnQmvcvmWTOnkDKPTDKTHnKPakQrjD1sjcvrj9KnE78IyQ_TyEYrHI6rjDYmHEYPHKhuHn&lego_tid=0533ab00-8ae3-469c-932f-dddc1cb6b093
近十号线南坑站 近星光之约   独厨独卫 电梯房 看房电联,1800元/月,1室0厅1卫,35平方米,南北,中层(共13层),精装修,公寓,南坑村 (龙岗坂田),整租南北5/10号线,超大一室一厨一卫 精美一房，精装修带豪华大阳台。 交通：近五和，南坑，光雅园地铁口，星光之约 需要看房直接电联。 周边有万科四季城、五和民营住宅区，长坑区，易佰大厦，江南百货，光雅华幼儿园，城东商业街附近。统一酒店式管理、配有管家、保洁等服务、家私齐全拎包即可入住。 近五和地铁站，步行到地铁口仅齤龒龒米左右距离。离公交站也是龤龒龒米左右，出行非常方便。实图实价，爱了吗？喜欢找我私聊哦。 配置:床、衣柜、电脑桌、沙发、热水器、冰箱、空调、洗衣机，独立厨卫现房直租，中介勿扰，看房电联。 ps:包管理费 带停车位。,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1599849768229900?isauction=6&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYLnW0zn10kmBYkuHDzsHE3nhDVryc3nzdbPWRWmhDvnhcdrycKnHTQn1cLnHb3TEDQPHbOrjEOP1m3nWcOrHTkTHTKnHTkTHD_nHTKPTDQPWT1PjndP19LPjNdTHNOTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHDLTEDVnEDKnHnQnj91nWDLnW9Ln1TYn1bvrTDvTyGGmNI-rWKxnWNknTDQTyu-rHPBujIhsyFWmhEVPjNLnBdBPyRBsH6hn1TOmH6BmWTkuEDQn1DkrjnznH0zrHmQnHDznjmdTHD1nHT3n1cQP1cOnHTLrjTYnHmKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQPzt4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1THNOPAnYuj7bsyN1uWmVPjcvriY3rjNLsHT1PHTduAcvrywWmkDKPTDKTHnKPakQrjD1sjcvrj9KnE78IyQ_THTQnvNOP1nkn1ELryubm1D&lego_tid=594c4d1d-e3f6-4269-8857-03505db69dcc
直租免中介 近五和站 阳光湾畔 精装公寓 户型多样 即看即住,1800元/月,1室1厅1卫,35平方米,南北,中层(共14层),精装修,公寓,和磡村 (龙岗坂田),整租南北5/10号线,大小单间 一房一厅 两房一厅 少量三房一厅，小区公寓都有 【五和地铁】周边配套：【商业】坂田商业广场　海达和成购物广场　天虹商场　百佳华购物中心    阳光湾畔【教育】育英学校　万科双语学校　四季花城小学　坂田小学【医疗】坂田医院　深圳健安医院【娱乐美食】愿者上钩　丽江龙继斑鱼庄　小黑牛自助畅吃乐   中田健身工作室【工业】鸺号仓　云里智能园　光雅园工业区　山海商业广场【酒店】万福世纪酒店　鹏城国际连锁酒店　七天酒店　山海酒店【银行】农村商业银行　招商银行　民生银行   建设银行【交通】地铁龥号线五和站    直达深圳北站 大学城 前海湾,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1583096517828618?isauction=6&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYLnW0zn10kmBYkuHDzsHE3nhDVryc3nzdbPWRWmhDvnhcdrycKPWc3rjNvnEDKnHN3n1TOPWNQP19zrjmQrTDkTHDknTDQsjDkTHEKnHmkn1E1PH03P1EdPEDvnTZ-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnEDQPkDKsHDKTHD1nH9LPjmOPWTQrjDvnjTzPHmKP97Jpy7ZuHCkg1cdnjTKnE7WP1cOuHRbridbmy7hsHE3uWbVrAPBuiYdujK-nW01n1c1PWmKnHnQrj0YPWbvnjcLrjTvrHcYrTDQn1D3P1EvrHmknHmOnjcQPjEzTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknH0f5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznkDLrjPBnW9kPiYdryNQsHE1mHmVmW7BPaYdnj-hm1cOP1NdPyEKTHEKTED1THE_nH9QnzkzPW93THDKUMR_UTDYmHI6ryPbnj0knAEkP1DL&lego_tid=783b2805-59e1-43a6-b1b4-509fc297555d
杨美地铁站C口龤龒龒米 大小单间一房一厅 大阳台采光好可短租,800元/月,1室0厅1卫,14平方米,东南,低层(共14层),精装修,公寓,杨美村 (龙岗坂田),整租东南5号线,【看房时间】随时看房【便捷服务】高速wifi龤餼小时管家服务专业免费保洁【安全智能】租客身份认证白领高素质人群之选智能*锁【标准配置】床/衣柜/空调/品质台灯/淋浴/床头柜/冰箱/洗衣机/油烟机【周边配套】靠近地铁站交通和购物都十分便利【品牌承诺】公寓直租无中介真实房源杜绝一切乱收费【退租转租】到期退房押金无息返还，可以转租，转租前提前告知麣、时尚全新精心装修，厨房，卫生间.龤、全新全齐的家私家电免费提供使用。房间里都配有空调，床，衣柜、梳妆柜，电脑桌，冰箱，油烟机，洗衣机、热水无需预热全天供应。閏、每个房间完全单门独户，高档豪华隔音防盗门，全部实砖实墙，安静舒适，绝无噪音。餼、龤餼小时有专人管理值班，入住这里，安全.放心、安心。,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1536061645987854?isauction=6&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadhmHFWnWcdPzYOPWIWsHwWP1TVmWn3nzYLm1DzuHbvn1mLrHcKnHTkrHDQPWTzTEDQPHnvnjmQPWEdrH9LrjNYTHTKnHTkTHD_nHTKPTDQPWT1PjndrjnQrjndTHDKOplFOUA7OplBOev8lpAvsRKjOlXxOCB4OlvUlmaFOmBgl2AClpAdTHDKnH9KTiYQTEDQn1DOPj0krjDLnHcQnHN1njcYTHmKph-6wvNln7tzPHTkTHDKryRBujw6P1EVryFhnzYYnhE1sycLPjDVPj9LrycQrAEzryuWTHD1nHbYP1T3nH0znWmknjmdnW9KnHnQrHELnj9QP1DdrjbknH0vnTDKTEDKTiYKTE7CIZwk01CfsLPlsMGdsh78pMRouiOWUvYfuh78uL-dmy3f0jD3s1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDQTgVqTHDknjNYTHDknjc1nWnKrHF6PhNOnAnVPWTQPaYYP1K6sy76ryEVujcvuynzPhP6mvcOTEDYTEDKnkDYsjD3nHn_nWm3rTDQTyOdUAkKPHbdnAc1rADvnvNknyN1u9&lego_tid=92a6e90c-6014-470a-aa9d-d26ec26cacb9
创兴时代精装单间，房间温馨，全新家私 ，一手业主诚心出租,1800元/月,1室1厅1卫,32平方米,朝东,中层(共20层),精装修,普通住宅,创兴时代 (龙岗坂田),整租朝东5/10号线,房源描述 房屋情况介绍：,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1669504514072585?isauction=6&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadhmHFWnWcdPzYOPWIWsHwWP1TVmWn3nzYLm1DzuHbvn1mLrHcKnHTkrHE1rjTvTEDQPWmOPHTYPHDYnj0zPH9dTHTKnHTkTHD_nHTKPTDQPWT1PjndrjnQrjndTHcKOplFOUA7OplBOev8lpAvsRKjOlXxOCB4OlvUlmaFOmBgl2AClpAdTHDKnH9KTiYQTEDQn1DOnH9LPW9vnWmvP10LPWTkTHmKph-6wvNln7tzPHTkTHDKmHnduHbdmWmVrAubnBYYrjEzsycvmH9VnhmOPvDQP1IhPA7BTHD1nHbQrj0vrjm1PWnzPjmdrHcKnHnQrHD3P1m3PWnknjnzP1b1P9DKTEDKTiYKTE7CIZwk01CfsLPlsMGdsh78pMRouiOWUvYfuh78uL-dmy3f0jD3s1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDQTgVqTHDknjNYTHDknjc1nWnKuHw6nARWrAmVnvcYriYYP10ksy76PjTVPj9vrjn3uh7Bnh7hTEDYTEDKnkDYsjD3nHn_nWm3rTDQTyOdUAkKnHTQmHD3nHbzrAP6mWc3PT&lego_tid=e4a0ec8f-3b49-4770-aa40-486838fab2af
近天安云谷 温馨女神房 近十号线雪象地铁站两百米！户型可选！,1900元/月,1室1厅1卫,40平方米,朝南,高层(共13层),精装修,公寓,佳兆业城市广场(一期) (龙岗坂田),整租朝南10号线,附近商业街,"冰箱,洗衣机,热水器,沙发,可做饭,空调,衣柜,",https://sz.zu.anjuke.com/fangyuan/1702029870586894?isauction=6&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadhmHFWnWcdPzYOPWIWsHwWP1TVmWn3nzYLm1DzuHbvn1mLrHcKnHTQnHTdPWN3TEDQP1TznjcOrj0kPH9vrjbYTHTKnHTkTHD_nHTKPTDQPWT1PjndrjnQrjndTHnKOplFOUA7OplBOev8lpAvsRKjOlXxOCB4OlvUlmaFOmBgl2AClpAdTHDKnH9KTiYQTEDQn1D3rjcQn1cQrjNzrjNYnW0zTHmKph-6wvNln7tzPHTkTHDKPAPBPjc1mvnVn1ELPzYYnHN3sycYm1TVPhNdnj0YujIWmWu6THD1nH93nWD1nWckrjndPjNkrj9KnHnQrj9znHnznWTkn19YrHcQP9DKTEDKTiYKTE7CIZwk01CfsLPlsMGdsh78pMRouiOWUvYfuh78uL-dmy3f0jD3s1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDQTgVqTHDknjNYTHDknjc1nWnKPjczPvPhPANVuHDvuiYYuWcLsycOm1bVPhPWmW7bujE3PjnQTEDYTEDKnkDYsjD3nHn_nWm3rTDQTyOdUAkKP1I6nyFhnvckPynvuW6-nE&lego_tid=4227cf4e-e16e-4f27-b9c9-6ccb1dd48431
直租免中介 近五和站 阳光湾畔 精装公寓 户型多样 即看即住,1800元/月,1室1厅1卫,35平方米,南北,中层(共14层),精装修,公寓,和磡村 (龙岗坂田),整租南北5/10号线,大小单间 一房一厅 两房一厅 少量三房一厅，小区公寓都有 【五和地铁】周边配套：【商业】坂田商业广场　海达和成购物广场　天虹商场　百佳华购物中心    阳光湾畔【教育】育英学校　万科双语学校　四季花城小学　坂田小学【医疗】坂田医院　深圳健安医院【娱乐美食】愿者上钩　丽江龙继斑鱼庄　小黑牛自助畅吃乐   中田健身工作室【工业】齤号仓　云里智能园　光雅园工业区　山海商业广场【酒店】万福世纪酒店　鹏城国际连锁酒店　七天酒店　山海酒店【银行】农村商业银行　招商银行　民生银行   建设银行【交通】地铁餼号线五和站    直达深圳北站 大学城 前海湾,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1583096517828618?isauction=6&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadhmHFWnWcdPzYOPWIWsHwWP1TVmWn3nzYLm1DzuHbvn1mLrHcKPWc3rjNvnEDKnHN3n1TOPWNQP19zrjmQrTDkTHDknTDQsjDkTHEKnHmkn1E1PH91nH91PEDYTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHD3TEDVnEDKnHnQrj0YPWbvnjD3nHmknjcdP9DvTyGGmNI-rWKxnWNknTDQTynknW7Bm1uWsHIWmH0VPAEznzdBm1mvsyFBuyDznHPBnyPWnkDQn1D3P1EvrHmknW03njmOnWE3THD1nH9LPjmOPWTQPWbknWDYPjcKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQrat4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1TH91nW76njbQsH9QuhDVPAF6mzYOP1-Wsy7WrH03rHTdnjwBu9DKPTDKTHnKPakQrjD1sjcvrj9KnE78IyQ_TymQnjTkPAEzmhcQuj7buWm&lego_tid=8321a091-81fa-4bac-979c-ac97890504bf
本人房源，近地铁近天虹，采光好，可做饭，可停车，拎包入住即可,900元/月,1室0厅1卫,20平方米,南北,中层(共6层),简单装修,公寓,坂田西村 (龙岗坂田),整租南北5/10号线,龤：本公寓楼每一间房子都是光线超好通风，全新全套家私家电免费提供使用：美的空调，热水器，，双人床，双层衣柜，梳妆台，沙发，茶几，电信光纤网络，免费停车场。閏：本公寓有独立厨房方便做饭卫生间，独立阳台，晾衣服方便宽敞。阳光和通风都相当的好。餼：每个房间完全单门独户，高档豪华隔音防盗门，全部实砖实墙，安静舒适，绝无噪音。楼下单独设立管理办公室，大门、楼道、房子四周都设置*电子监 控*，楼道有刷卡电子门禁，内还有防盗门，且龤餼小时有专人管理值班，入住这里，安全，卫生*。驋：购物消费更是方便，楼下全国各种小吃都有，大小饭店，早餐店，大型超市，水果超市银行，饭店，市场等设施一应俱全。,"冰箱,洗衣机,热水器,宽带,沙发,可做饭,空调,衣柜,床,卫生间,",https://sz.zu.anjuke.com/fangyuan/1563718948264972?isauction=6&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadhmHFWnWcdPzYOPWIWsHwWP1TVmWn3nzYLm1DzuHbvn1mLrHcKnHTQnjn1Pj0LTEDQPHm1P1D3rHE3nWmYrH0zTHTKnHTkTHD_nHTKPTDQPWT1PjndrjnQrjndTHNKOplFOUA7OplBOev8lpAvsRKjOlXxOCB4OlvUlmaFOmBgl2AClpAdTHDKnH9KTiYQTEDQn1DOPjbOnHb3PjT1PjNzrHc3THmKph-6wvNln7tzPHTkTHDKnjcdPyRBnAcVnAwbuiYYn1I6syD1n1cVPH9zuHc3rAubuhPWTHD1nHbYrHbQrH9dnj91nHTdnW9KnHnQrHEOrHDOrjEYrHNOnjcLn9DKTEDKTiYKTE7CIZwk01CfsLPlsMGdsh78pMRouiOWUvYfuh78uL-dmy3f0jD3s1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDQTgVqTHDknjNYTHDknjc1nWnKnA7-n1nkP19VuHPbmiYYPjKBsHbQPjNVnyN1rH9vPyDvnvczTEDYTEDKnkDYsjD3nHn_nWm3rTDQTyOdUAkKm10QuHTvmW0vP10YmyNvnT&lego_tid=0ae33078-e3da-440b-9145-1e39865a63b2
驋号线五和地铁口精装公寓 家私家齐全，独立厨卫，户户阳台,1999元/月,1室1厅1卫,43平方米,朝南,中层(共12层),精装修,公寓,和磡村 (龙岗坂田),整租朝南5/10号线,如果您看中了这套房子请看 房屋介绍：麣：随时可以看房，您方便的时候给我一个电话，没及时回复也请您给我来个电话这边给您详情介绍房子龤：这套房子户型端正，精装修，家电齐全，宽敞明亮，布局大方，采光好。閏：所处地理位置好。周边生活配套设施全，超市、公园、商场等足够满足您的日常生活需求。餼：公交十分方便。不远就是地铁，楼下就是公交、四通八达、出行方便。驋：房屋现房都是没人住过，新房，干净整洁，温馨舒适，窗明几净龥、房屋外面绿化采光好。环境优美。双层隔音窗户，宁静和谐，好环境总会给人带来好心情。 温馨提示： 好房不等人，错过就没有，如果您看中这套房子，不妨打我电话或者点击咨询哦，本人会及时回复给你详情介绍这套房子如果还想看看其他的，欢迎点进我个人主页还有更多房源等你来看，各种户型精装靓房一律都有希望您能在我这找到合适的房子温馨的家,"冰箱,洗衣机,热水器,宽带,沙发,可做饭,电视,空调,衣柜,床,卫生间,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1583076720368655?isauction=6&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadhmHFWnWcdPzYOPWIWsHwWP1TVmWn3nzYLm1DzuHbvn1mLrHcKP1nvnWN3PkDKnHN3n1TLPW0znjnvrjmdPEDkTHDknTDQsjDkTHEKnHmkn1E1PH91nH91PEDvTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHD3TEDVnEDKnHnQP1mYnjTvnWcvP1TYn19YnTDvTyGGmNI-rWKxnWNknTDQTywWnW0YmWEYsHNQmhmVPjcdPBd6uhw-sHbOnW7Bnj01uhP6PTDQn1DLPWEknjmzPjnYrjDQrHTYTHD1nH0vPjTkPWc1rjTzrjNOPHcKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQrat4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1TyuBrAmYPyczsHEYrjEVPjP6uid6uAubsynOrj0duyEYmvuhn9DKPTDKTHnKPakQrjD1sjcvrj9KnE78IyQ_THnOPjDvuHRBnWDzPHN1nHm&lego_tid=fb8f45b2-4484-43ae-adfd-c9875ed4cff2
近驋号十号线五和站 温馨公寓 精美阳台 独厨独卫 看房电联,1800元/月,1室0厅1卫,30平方米,南北,低层(共9层),精装修,公寓,创兴时代 (龙岗坂田),整租南北5/10号线,精装一室一厨一卫，精装修，带阳台。非样板间，所见即所得。交通：近五和地铁站，需要看房直接电联。周边有万科四季城、五和民营住宅区，长坑区，易佰大厦，江南百货，光雅华幼儿园，城东商业街附近。统一酒店式管理、配有管家、保洁等服务、家私齐全拎包即可入住。近五和地铁站，步行到地铁口仅齤龒龒米左右距离。离公交站也是龤龒龒米左右，出行非常方便。实图实价，爱了吗，喜欢找我私聊哦。配置:床、衣柜、电脑桌、沙发、热水器、冰箱、空调、洗衣机，独立厨卫现房直租，中介勿扰，看房电联。 ps:方便停车，可办月卡。,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1629479224893453?isauction=6&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadhmHFWnWcdPzYOPWIWsHwWP1TVmWn3nzYLm1DzuHbvn1mLrHcKnHTQn1cLnHb3TEDQPWcOPj0OnWcYrjb1PjN1THTKnHTkTHD_nHTKPTDQPWT1PjndrjnQrjndTH0KOplFOUA7OplBOev8lpAvsRKjOlXxOCB4OlvUlmaFOmBgl2AClpAdTHDKnH9KTiYQTEDQn1DkrjnznjEYnWcOPHn1PWbvTHmKph-6wvNln7tzPHTkTHDKnANznW91nWNVmhnQnzYYPHDYsH-6uH9VnjF6nju6mHD3uHI-THD1nHT3n1ckPjE1nWmknHEOP1mKnHnQnj91nWTYPjcLnHELPW01P9DKTEDKTiYKTE7CIZwk01CfsLPlsMGdsh78pMRouiOWUvYfuh78uL-dmy3f0jD3s1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDQTgVqTHDknjNYTHDknjc1nWnKmvcdujT1nWDVPHN3naYYP1KBsyFBPHcVrH91rjDLmhDQnH9vTEDYTEDKnkDYsjD3nHn_nWm3rTDQTyOdUAkKPhmkmWbkuA7BnH0dPWFbrT&lego_tid=cb5d0321-5580-470b-bb52-983817ba1186
扬马小区地铁口驋龒龒米，公寓房出租，家电齐全，欢迎致电！,980元/月,1室0厅1卫,18平方米,朝南,低层(共7层),精装修,公寓,扬马小区 (龙岗坂田),整租朝南5/10号线,本公寓*地铁站只有驋龒龒米，公寓楼下就是公交站站台.,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,空调,衣柜,床,卫生间,阳台,",https://sz.zu.anjuke.com/fangyuan/1639873029118985?isauction=6&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadhmHFWnWcdPzYOPWIWsHwWP1TVmWn3nzYLm1DzuHbvn1mLrHcKnHTQnjb1P1nzTEDQPWnOrj01njcOnHD3rH9dTHTKnHTkTHD_nHTKPTDQPWT1PjndrjnQrjndTH9KOplFOUA7OplBOev8lpAvsRKjOlXxOCB4OlvUlmaFOmBgl2AClpAdTHDKnH9KTiYQTEDQn1DOPjEkPjEkrHmkP1N1PWmYTHmKph-6wvNln7tzPHTkTHDKuAwBnHNLn1DVPAE3nzYYrjRhsyDQPAmVPAE1PHPbnhR6nhmQTHD1nHbYPjTYPjDkPH0znWcvPHmKnHnQrHEYnjEYnHTQnHT3rHEkrTDKTEDKTiYKTE7CIZwk01CfsLPlsMGdsh78pMRouiOWUvYfuh78uL-dmy3f0jD3s1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDQTgVqTHDknjNYTHDknjc1nWnKrHw6nHD1PyEVuhcOnaYYnWN1sHb3PAnVuWF-nhczP1nvry7BTEDYTEDKnkDYsjD3nHn_nWm3rTDQTyOdUAkKnWcQnHEvnWI6P1nLm17BPT&lego_tid=94a1135d-fb90-4253-984c-f2e2b27369ab
近十号线光雅园站 独厨独卫 温馨公寓 户户阳光房,1800元/月,1室0厅1卫,28平方米,东南,中层(共9层),精装修,公寓,光雅园 (龙岗坂田),整租东南5/10号线,麣.附近生活设施配套周全，有市场，超市，银行，公交站，地铁，交通便利，生活方便，情侣、居家、上班族的首选，家电家具齐全，让您感受到家的温馨······,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1655235907051530?isauction=6&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuadhmHFWnWcdPzYOPWIWsHwWP1TVmWn3nzYLm1DzuHbvn1mLrHcKnHTQPHEzPWEdTEDQPWNdnWndrHTLnjNQPHnkTHTKnHTkTHD_nHTKPTDQPWT1PjndrjnQrjndTHbKOplFOUA7OplBOev8lpAvsRKjOlXxOCB4OlvUlmaFOmBgl2AClpAdTHDKnH9KTiYQTEDQn1D3P19QnWTznHbknjN1n10vTHmKph-6wvNln7tzPHTkTHDKnHEduWbzn1EVnARBPiYYryRhsH9OPjTVnADQnWFbP1-Bn1P-THD1nH9LrjDznjc1nWEzP1DQnjEKnHnQrj03nHcknWc1PWD3PWmzPTDKTEDKTiYKTE7CIZwk01CfsLPlsMGdsh78pMRouiOWUvYfuh78uL-dmy3f0jD3s1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDQTgVqTHDknjNYTHDknjc1nWnKmHK6mH0kPWNVuWbQnaYYPvnLsyD3ujEVnjP6mHnOm10OrjTzTEDYTEDKnkDYsjD3nHn_nWm3rTDQTyOdUAkKrAcvuyPhujN1uj7buhnvuT&lego_tid=a0aa7065-f910-47c7-a8d4-03aa39c79802
